english,name,type,dosage,disposition
MAGNESIUM HYDROXIDE,لاکسی ژل,سوسپانسیون,8 % 240 mL,خوراکی 
AMIODARONE HYDROCHLORIDE,آمیودارون بایو اینداستریا ال.آی.ام,تزریقی,50 mg/1 mL 3 mg,پرنترال 
PANCURONIUM BROMIDE,کورپان,تزریقی,2 mg/1mL 2 mL,پرنترال 
FEXOFENADINE HYDROCHLORIDE,فکسوفنادین,قرص,120 mg,خوراکی 
MEFENAMIC ACID,مفنامیک اسید-الحاوی,کپسول,250 mg,خوراکی 
CLOXACILLIN (AS SODIUM),کلوگزاسیلین,کپسول,500 mg,خوراکی 
MEBEVERINE HYDROCHLORIDE,مبورین,کپسول,200 mg,پیوسته رهش خوراکی 
CHLORPHENIRAMINE MALEATE,کلرفنیرامین,تزریقی,10 mg/1mL mL,پرنترال 
VALSARTAN,والسارتان,قرص,80 mg,خوراکی 
CO-AMOXICLAV,فارمنتین بی دی,پودر,400 mg/57 mg/5 mL 100 mL,برای تهیه سوسپانسیون خوراکی 
CLOMIPRAMINE HYDROCHLORIDE,کلومیپرامین,قرص,25 mg,خوراکی 
MEMANTINE HYDROCHLORIDE,ممانتین,قرص,10 mg,خوراکی 
FOLLITROPIN ALFA,سینال اف,پودر,x 75 [iU] [iU],برای تهیه سوسپانسیون خوراکی 
PILOCARPINE HYDROCHLORIDE,بایوکارپین,"محلول،",4 % 10 mL,قطره چشمی 
ALPRAZOLAM,آلپرازولام,قرص,0.5 mg,خوراکی 
SALBUTAMOL (AS SULFATE),سالبوترکس,اسپری,100 ug/1{dose} 200 ug,با دوز اندازه گیری شده استنشاقی 
"CALCITONIN, SALMON",نازوکلسین,اسپری,100 [iU]/1 {dose} 16 mL,از راه بینی 
CIPROFLOXACIN (AS HYDROCHLORIDE),سیپروکیم,قرص,500 mg,خوراکی 
GENTAMICIN,جنتامایسین-اکسیر,تزریقی,10 mg/1mL 2 mL,پرنترال 
PNEUMOCOCCAL VACCINE 13-VALENT,واکسن پرونار 13,تزریقی,0.5 mL,پرنترال 
NYSTATIN,نیستاتین,قرص,100000 [iU],واژینال 
OXALIPLATIN,الوکسال,محلول,5 mg/1mL 20 mg,غلیظ تزریقی پرنترال 
DICLOFENAC SODIUM,دیکلوکیم,قرص,100 mg,پیوسته رهش خوراکی 
TETRACYCLINE HYDROCHLORIDE,آفی تترین,پماد,3 % 15 g,موضعی 
ERYTHROMYCIN,اریترومایسین-سپیداج,محلول,2 % 60 mL,موضعی 
KETOCONAZOLE,کتوکونازول- ناژو,کرم,2 % 30 g,موضعی 
ATORVASTATIN (AS CALCIUM),آتوکیم,قرص,10 mg,خوراکی 
ACETAMINOPHEN,استامینوفن,قرص,500 mg,خوراکی 
TRANEXAMIC ACID,ترانگزیپ,تزریقی,100 mg/1mL 5 mL,پرنترال 
IBUPROFEN,ایبوپروفن,تزریقی,100 mg/1mL 4 mL,پرنترال 
CALCITRIOL,زاویترول,کپسول,0.25 ug,حاوی مایع خوراکی 
PENICILLIN V (AS POTASSIUM),پنی سیلین وی,قرص,500 mg,خوراکی 
OCTREOTIDE (AS ACETATE),ساندوستاتین لار,پودر,20 mg mg,برای تهیه سوسپانسیون تزریقی پیوسته رهش پرنترال 
GENTAMICIN,جنتکس,"محلول،",3 mg/1mL 5 mL,قطره چشمی
DIPYRIDAMOLE,دی پیریدامول,قرص,75 mg,خوراکی 
DILTIAZEM HYDROCHLORIDE,دیلتیازم,قرص,60 mg,خوراکی 
NEOSTIGMINE METHYLSULFATE,ایپوستیگمین,تزریقی,0.5 mg/1mL 1 mL,پرنترال 
BARIUM SULFATE,بارکس,پودر,135 g g,برای تهیه سوسپانسیون خوراکی
ANTITHYMOCYTE IMMUNOGLOBULIN,آتگام,تزریقی,50 mg/1mL 5 mL,پرنترال 
LEVOFLOXACIN,لووفلوکساسین,قرص,500 mg,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک بهسا,شیاف,50 mg,مقعدی 
CEFIXIME,زاکسیم,پودر,100 mg/5 mL 50 mL,برای تهیه سوسپانسیون خوراکی
CLINDAMYCIN (AS PHOSPHATE),دالاواگ,کرم,2 % 40 g,واژینال 
COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),هماکتین,پودر,500 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
TRIAMCINOLONE ACETONIDE,تریامسیکورت,پماد,0.1 % 15 g,موضعی 
CLINDAMYCIN (AS PHOSPHATE),کلیندامایسین پاک دارو,محلول,10 mg/1mL 60 mL,موضعی 
DIPHENHYDRAMINE HYDROCHLORIDE,دیفن هیدرامین-حکیم,,12.5 mg/5mL 60 mL,محلول خوراکی
SILDENAFIL (AS CITRATE),ویزارسین,قرص,100 mg,خوراکی 
INDOMETHACIN,ایندومت,قرص,75 mg,پیوسته رهش خوراکی
DIAZEPAM,دیازپام,قرص,2 mg,خوراکی 
DULOXETINE,دلوکستین,کپسول,20 mg,انتریک کوتد خوراکی
DEXTROMETHORPHAN HYDROBROMIDE,دکسترومتورفان,شربت,15 mg/5mL 60 mL,خوراکی 
ETOPOSIDE,اتوپوزاید مایلن,محلول,20 mg/1mL 5 mg,تزریقی داخل وریدی
HYDROCORTISONE ACETATE,کورتینیل,پماد,1 % 15 g,موضعی 
TOPIRAMATE,توپیرامات سها,قرص,50 mg,خوراکی 
SITAGLIPTIN (AS PHOSPHATE),ژانووکس,قرص,50 mg,خوراکی 
DICLOFENAC SODIUM,آفیکلوناک,شیاف,100 mg,مقعدی 
SURFACTANT (BOVINE LIPID EXTRACT),بلس,سوسپانسیون,27 mg/1mL 5 mL,تزریقی از راه تراشه
RIBAVIRIN,ریبابایوویر,کپسول,200 mg,خوراکی 
CO-TRIMOXAZOLE,کوتریموکسازول,محلول,80 mg/16 mg/1mL 5 mL,تزریقی داخل وریدی
MAGNESIUM HYDROXIDE,لاکس-مل,سوسپانسیون,8 % 240 mL,خوراکی 
LOPERAMIDE HYDROCHLORIDE,لوپرامید-حکیم,قرص,2 mg,خوراکی 
LANSOPRAZOLE,لانسوپرازول-حکیم,کپسول,30 mg,انتریک کوتد خوراکی
CONTRACEPTIVE LD,اووستاپ-ال,قرص,30 ug/0.15 mg,خوراکی 
PROPRANOLOL HYDROCHLORIDE,پرانول,قرص,10 mg,خوراکی 
FLUTICASONE PROPIONATE,فلوتیزوکس,اینهالر,50 ug/1{dose} 120 ug,استنشاقی 
TAMSULOSIN HYDROCHLORIDE,تامسولوسین آریا,کپسول,0.4 mg,پیوسته رهش خوراکی
IOPAMIDOL,اسکن لوکس,تزریقی,370 mg/1mL 50 g,پرنترال 
PRAMIPEXOLE (AS DIHYDROCHLORIDE),سیفرول,قرص,0.52 mg,پیوسته رهش خوراکی
ATORVASTATIN (AS CALCIUM),آتورواستاتین,قرص,40 mg,خوراکی 
CROMOLYN SODIUM,کرومونیز,اسپری,20 mg/1mL 13 mL,از راه بینی
"CALCITONIN, SALMON",کلتونیکس,اسپری,200 [iU]/1{Puff} 14 [iU],از راه بینی
NORTRIPTYLINE (AS HYDROCHLORIDE),نورتریپتیلین,قرص,10 mg,خوراکی 
GUAIFENESIN,گایافنزین,شربت,100 mg/5mL 60 mL,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک-جالینوس,قرص,25 mg,انتریک کوتد خوراکی
CO-TRIMOXAZOLE,کوتریموکسازول,سوسپانسیون,200 mg/40 mg/5mL 100 mL,خوراکی 
LANSOPRAZOLE,رهازل,کپسول,30 mg,انتریک کوتد خوراکی
ORLISTAT,ارلیستات,کپسول,120 mg,خوراکی 
CELECOXIB,سلکسوسد,کپسول,200 mg,خوراکی 
DEXTROSE,دکستروز,محلول,20 % 50 mL,تزریقی داخل وریدی
AMOXICILLIN,آموکسی سیلین,کپسول,500 mg,خوراکی 
DESMOPRESSIN ACETATE,دزمکس,اسپری,100 ug/1mL 5 mL,از راه بینی
FAMOTIDINE,فاموتد,قرص,40 mg,خوراکی 
GENTAMICIN,جنتامایسین,تزریقی,40 mg/1mL 1 mL,پرنترال 
TRIAMTERENE / HYDROCHLOROTHIAZIDE,تریامترن-اچ-تدافارم,قرص,50 mg/25 mg,خوراکی 
PEDIATRIC GRIPPE,کیدی کلد,شربت,0.67 mg/10 mg/5mL 60 mL,خوراکی 
MEGESTROL ACETATE,جستیران,قرص,40 mg,خوراکی 
CLONAZEPAM,کلونازپام-سبحان,قرص,2 mg,خوراکی 
MYCOPHENOLATE MOFETIL,سیتوگان,قرص,500 mg,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک-بهوزان,شیاف,100 mg,مقعدی 
VITAMIN C,ویتامین سی,تزریقی,100 mg/1mL 5 mL,پرنترال 
PROPOFOL,پوفول,امولسیون,10 mg/1mL 20 mg,تزریقی پرنترال
ACETAMINOPHEN / CODEINE PHOSPHATE,استاژل-سی,کپسول,300 mg/20 mg,حاوی مایع خوراکی
CEFTIZOXIME,آفازوکس,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
FLUCONAZOLE,فلوکونازول,کپسول,100 mg,خوراکی 
VALSARTAN,والسارتان-شفا,قرص,80 mg,خوراکی 
SUMATRIPTAN (AS SUCCINATE),سوماتریپتان,قرص,50 mg,خوراکی 
CIPROFLOXACIN (AS LACTATE),سیپروفلوکساسین در دکستروز,محلول,2 mg/1mL 100 mL,تزریقی داخل وریدی
DIAZEPAM,دیازپام,قرص,10 mg,خوراکی 
OFLOXACIN,افلوفکت,قرص,200 mg,خوراکی 
ETHINYLESTRADIOL,اتینیل استرادیول,قرص,0.5 mg,خوراکی 
CARVEDILOL,کارودیلول,قرص,25 mg,خوراکی 
PHENYLEPHRINE / ZINC,فنیل افرین زینک,"محلول،",0.12 %/0.25 % 10 mL,قطره چشمی
ETHERIFIED STARCH,والوون,محلول,6 % 500 %,تزریقی پرنترال
SERTRALINE (AS HYDROCHLORIDE),سرترالین-سبحان,قرص,50 mg,خوراکی 
TAMSULOSIN HYDROCHLORIDE,پروترال,کپسول,0.4 mg,پیوسته رهش خوراکی
ARTIFICIAL TEARS,بایوتیر,"محلول،",14 mg/1mL 10 mL,قطره چشمی
OXYTOCIN,اکسی تیپ,تزریقی,10 [iU]/1mL mL,پرنترال 
NITROFURANTOIN,نیتروفورانتوئین,قرص,100 mg,خوراکی 
MANNITOL,مانیتول,محلول,20 % 500 L,تزریقی داخل وریدی
VERAPAMIL HYDROCHLORIDE,وراپامیل,قرص,40 mg,خوراکی 
ARTIFICIAL TEARS,آیاوت,محلول,3.2 mg/1mL 10 mL,چشمی 
HYDROCORTISONE (AS SODIUM SUCCINATE),هیدروکورتال,پودر,100 mg mg,برای تهیه محلول تزریقی پرنترال
PENICILLIN G BENZATHIN,بنزا-پن,پودر,1200000 [iU] [iU],برای تهیه فرآورده تزریقی پرنترال
BECLOMETHASONE DIPROPIONATE,بکلکس,آئروسل,250 ug/1{dose} 200 {Puff},با دوز اندازه گیری شده استنشاقی
GABAPENTIN,گاباپنتین آریا,کپسول,300 mg,خوراکی 
FENTANYL (AS CITRATE),فنتانیل,تزریقی,50 ug/1mL 2 mL,پرنترال 
TAMSULOSIN HYDROCHLORIDE,تامسوور,کپسول,0.4 mg,پیوسته رهش خوراکی
FLUOROURACIL,ابفلورو,تزریقی,50 mg/1mL 20 mg,پرنترال 
SPIRONOLACTONE,اسپیرونولاکتون,قرص,100 mg,خوراکی 
ATROPINE SULFATE,آتروپین,تزریقی,0.5 mg/1mL mL,پرنترال 
OSELTAMIVIR (AS PHOSPHATE),فلوبایوویر,کپسول,75 mg,خوراکی 
SORBITOL,سوربیتول,پودر,5 g g,خوراکی 
FLUOXETINE (AS HYDROCHLORIDE),فلوکستین آریا,کپسول,20 mg,خوراکی 
MELOXICAM,ملوکسیفار,قرص,7.5 mg,خوراکی 
DOXORUBICIN HYDROCHLORIDE,آدریامایسین,محلول,2 mg/1mL 5 mg,غلیظ تزریقی پرنترال
EXPECTORANT CODEINE,اکسپکتورانت کدئین,,100 mg/30 mg/10 mg/5 mL 60 mL,شربت خوراکی
FACTOR IX,هموناین,پودر,500 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
RIZATRIPTAN (AS BENZOATE),میگریتان,قرص,10 mg,خوراکی 
PERITONEAL DIALYSIS III,دیالیز صفاقی III,محلول,38.6 g/5.67 g/0.257 g/0.152 g/3.922 g/1000 mL 2 L,داخل صفاقی
CITALOPRAM,سیتالوتد,قرص,40 mg,خوراکی 
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE,لوزامیکس-اچ,قرص,50 mg/12.5 mg,خوراکی 
TRAMADOL HYDROCHLORIDE,آلاپین,قرص,100 mg,خوراکی 
LENALIDOMIDE,لنوما,کپسول,15 mg,خوراکی 
ADULT COLD PREPARATIONS (4-3),سرماخوردگی بزرگسالان,قرص,325 mg/5 mg/2 mg,خوراکی 
CARVEDILOL,کارویدال,قرص,12.5 mg,خوراکی 
METFORMIN HYDROCHLORIDE / LINAGLIPTIN,جاریگلو-ام,قرص,1000 mg/2.5 mg,خوراکی 
ADULT COLD PREPARATIONS (4-11),کلد-ژل,کپسول,325 mg/2 mg/5 mg,حاوی مایع خوراکی
RIVAROXABAN,آکسابین,قرص,15 mg,خوراکی 
DEXMEDETOMIDINE (AS HYDROCHLORIDE),دکسمدتومیدین,تزریقی,4 ug/1mL 100 mL,پرنترال 
ALBUMIN (HUMAN),آلبوسل,محلول,20 % 50 g,تزریقی پرنترال
GEMCITABINE HYDROCHLORIDE,جم سی مکس,محلول,100 mg/1mL 2 mg,غلیظ تزریقی پرنترال
AZITHROMYCIN,آزیترومایسین,کپسول,500 mg,خوراکی 
LATANOPROST,زالاتان,"محلول،",50 ug/1mL 2.5 ug,قطره چشمی
CLOBETASOL PROPIONATE,کلوبتازول,پماد,0.05 % 15 g,موضعی 
TRIAMCINOLONE ACETONIDE,تریامسینولون استوناید,پماد,0.1 % 15 g,موضعی 
VILANTEROL (AS TRIFENATATE) / FLUTICASONE FUROATE,ویلکا,کپسول,0.1 mg/0.025 mg,استنشاقی 
VALSARTAN / HYDROCHLOROTHIAZIDE,والزودک-اچ سی تی,قرص,160 mg/25 mg,خوراکی 
OSELTAMIVIR (AS PHOSPHATE),فلو-بان,کپسول,75 mg,خوراکی 
OSIMERTINIB (AS MESYLATE),اسیمرتینیب,قرص,80 mg,خوراکی 
CHLORDIAZEPOXIDE,کلردیازپوکساید,قرص,10 mg,خوراکی 
NILOTINIB,لوتیگنا,کپسول,200 mg,خوراکی 
LABETALOL HYDROCHLORIDE,لابتالول- آرنگ,تزریقی,5 mg/1mL 20 mg,پرنترال 
LEVODOPA / BENSERAZIDE,لپارسید,قرص,100 mg/25 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,قرص,500 mg,خوراکی 
CLOTRIMAZOLE,کلوتریمازول-بهوزان,کرم,2 % 50 g,واژینال 
SERTRALINE (AS HYDROCHLORIDE),سرترالین,قرص,100 mg,خوراکی 
PRAMIPEXOLE (AS DIHYDROCHLORIDE),پراکسول,قرص,0.7 mg,خوراکی 
CYCLOPHOSPHAMIDE,ادسیکلو,قرص,50 mg,خوراکی 
LEVODOPA / BENSERAZIDE,مادوپار,قرص,100 mg/25 mg,خوراکی 
GADOTERATE MEGLUMINE,سیکلولوکس,تزریقی,376.9 mg/1mL 15 mL,پرنترال 
CEFEPIME (AS HYDROCHLORIDE),آفاکساپیم,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
BERACTANT,برکسورف,سوسپانسیون,25 mg/1mL 8 mg,تزریقی داخل تراشه ای
SODIUM CHLORIDE,سالتی نوز-پی بی ای,اسپری,0.65 % 20 mL,از راه بینی
HOMATROPINE,هومیدرین,"محلول،",2 % 10 mL,قطره چشمی
AMLODIPINE (AS BESILATE),آملودیپین,قرص,5 mg,خوراکی 
BORTEZOMIB,الوکید,پودر,2.5 mg mg,برای تهیه فرآورده تزریقی پرنترال
SERTRALINE (AS HYDROCHLORIDE),سرمنتا,قرص,100 mg,خوراکی 
VILANTEROL (AS TRIFENATATE) / FLUTICASONE FUROATE,ویلکا,کپسول,0.2 mg/0.025 mg,استنشاقی 
BISOPROLOL FUMARATE,روبتا,قرص,5 mg,خوراکی 
IBUPROFEN,ایبوپروفن,قرص,400 mg,خوراکی 
PRILOCAINE / FELYPRESSIN,پریلوکائین/ فلی پرسین,تزریقی,30 mg/0.54 ug/1mL 1.8 mL,پرنترال 
MEBEVERINE HYDROCHLORIDE,ایریمب,کپسول,200 mg,پیوسته رهش خوراکی
DONEPEZIL HYDROCHLORIDE,آلپزیل,قرص,5 mg,خوراکی 
PREGABALIN,پرگابالین,کپسول,100 mg,خوراکی 
EMPAGLIFLOZIN,امپاگلیبت,قرص,10 mg,خوراکی 
CALCIUM DOBESILATE,دوبسیکا,کپسول,500 mg,خوراکی 
ESOMEPRAZOLE (AS MAGNESIUM) / NAPROXEN,ناپسیوو,قرص,20 mg/500 mg,انتریک کوتد خوراکی
CEFIXIME,سفیکسیم,قرص,400 mg,خوراکی 
ANTIHISTAMINE DECONGESTANT (2),آنتی هیستامین دکونژستانت,قرص,4 mg/10 mg,خوراکی 
WARFARIN SODIUM,وارفارین,قرص,5 mg,خوراکی 
CEFTRIAXONE (AS SODIUM),سفتریانا,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
GLICLAZIDE,گلی زیداس,قرص,30 mg,پیوسته رهش خوراکی
ATORVASTATIN (AS CALCIUM),آتورواستاتین,قرص,10 mg,خوراکی 
AZITHROMYCIN,آنی زیت,کپسول,250 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,امت-دو,قرص,12.5 mg/1000 mg,خوراکی 
INSULIN ASPART,نوومیکس فلکس پن,سوسپانسیون,100 [iU]/1mL 3 [iU],تزریقی پرنترال
CINNARIZINE,اسوه-سیناریزین,قرص,25 mg,خوراکی 
TETRACOSACTIDE ACETATE,سیناکران,سوسپانسیون,1 mg/1mL mL,تزریقی پرنترال
INDOMETHACIN,ایندوساپ,شیاف,100 mg,مقعدی 
ALENDRONATE (AS SODIUM),درسونیت,محلول,70 mg/75 mL mg,خوراکی 
DIAZEPAM,دیازپام-سبحان,قرص,10 mg,خوراکی 
KETOTIFEN (AS FUMARATE),آمیتن,شربت,1 mg/5mL 60 mL,خوراکی 
FENOFIBRATE,آنی لیپ,کپسول,200 mg,خوراکی 
BETAHISTINE DIHYDROCHLORIDE,اکتوسرک,قرص,8 mg,خوراکی 
SODIUM BICARBONATE,سدیم بی کربنات,تزریقی,4.2 % 50 mL,پرنترال 
INDAPAMIDE,زادورل,قرص,1.5 mg,پیوسته رهش خوراکی
CONTRACEPTIVE HD,اوسپت-اچ دی,قرص,0.25 mg/50 ug,خوراکی 
ESOMEPRAZOLE (AS MAGNESIUM),اموزکت,گرانول,5 mg mg,انتریک کوتد خوراکی
VITAMIN B1 (THIAMINE),ویتامین ب 1,قرص,300 mg,خوراکی 
SODIUM TETRADECYL SULFATE,فیبرووین,تزریقی,1 % 2 mg,پرنترال 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,امت-دو,قرص,12.5 mg/500 mg,خوراکی 
DAPOXETINE (AS HYDROCHLORIDE),داکسوپیل,قرص,30 mg,خوراکی 
BIPERIDEN HYDROCHLORIDE,آکینکس,قرص,2 mg,خوراکی 
PROGESTERONE,اندومترین,قرص,100 mg,واژینال 
VITAMIN B1 (THIAMINE),تیامیرن,قرص,300 mg,خوراکی 
OMEPRAZOLE,اکسی پرازول,کپسول,) 20 mg,(پلت های انتریک کوتد خوراکی
CARGLUMIC ACID,کارباگلو,قرص,200 mg,برای تهیه سوسپانسیون خوراکی
ACETAMINOPHEN,آنی ژزیک,قرص,500 mg,جوشان خوراکی
TRIAMCINOLONE NN,تریامسینولون ان ان,پماد,1 mg/2.5 mg/100000 [iU]/1g 15,موضعی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنزول,قرص,20 mg,انتریک کوتد خوراکی
ABIRATERONE ACETATE,بیتروزیگا,قرص,250 mg,خوراکی 
EVEROLIMUS,سرتیکان,قرص,0.25 mg,خوراکی 
POLYETHYLENE GLYCOL,پیدرولاکس,پودر,70 g,خوراکی 
DOXORUBICIN HYDROCHLORIDE,آدریابین,محلول,2 mg/1mL 25 mL,غلیظ تزریقی پرنترال
METFORMIN HYDROCHLORIDE,متفورمین-حکیم,قرص,1000 mg,خوراکی 
MOMETASONE FUROATE,مگاکورت,پماد,0.1 % 15 g,موضعی 
MEGESTROL ACETATE,مژکس-آی,سوسپانسیون,40 mg/1mL 20 mg,خوراکی 
SODIUM CHLORIDE,سدیم کلراید,محلول,0.9 % 500 mL,تزریقی پرنترال
CYPROHEPTADINE HYDROCHLORIDE,سیپروهپتادین,قرص,4 mg,خوراکی 
